fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,USD,84946000000,10761000000,None,10051000000,10816000000,48663000000,52729000000,None,-1449000000,30445000000,-49833000000,-15879000000,-7548000000,0,0,None,None,None,None,None,0,None,None,None,None,None,30425000000
2022-12-31,USD,46752000000,9007000000,None,5161000000,2592000000,41921000000,63645000000,-21897000000,2592000000,-2722000000,-37601000000,9718000000,3999000000,6000000000,6000000000,None,None,None,None,None,21166000000,None,-6000000000,None,18869000000,None,-2722000000
2021-12-31,USD,46327000000,7243000000,None,5916000000,9487000000,34433000000,61053000000,-18163000000,9487000000,33355000000,-58154000000,6291000000,None,0,0,None,None,None,None,None,19003000000,None,None,None,-5900000000,-364000000,33364000000
2020-12-31,USD,66064000000,5087000000,None,18745000000,2849000000,25180000000,40140000000,-8169000000,2849000000,21331000000,-59611000000,-1104000000,None,0,0,None,None,None,None,None,10525000000,None,None,None,5967000000,618000000,21331000000
2019-12-31,USD,38514000000,4008000000,None,9904000000,3278000000,21789000000,16861000000,-7681000000,3278000000,11588000000,-24281000000,-10066000000,None,None,None,None,None,None,None,None,2273000000,None,None,None,4237000000,70000000,11588000000
2018-12-31,USD,30723000000,0,None,4414000000,1314000000,15341000000,13427000000,-4615000000,1314000000,10073000000,-12369000000,-7686000000,None,None,None,None,None,None,None,None,768000000,None,None,None,10317000000,-351000000,10073000000
2017-12-31,USD,18365000000,0,None,7913000000,3583000000,11478000000,11955000000,-4786000000,3583000000,3033000000,-27084000000,9928000000,None,None,None,None,None,None,None,None,16231000000,None,None,None,1188000000,713000000,3033000000
2016-12-31,USD,17203000000,1119000000,None,16961000000,1426000000,8116000000,7804000000,-3367000000,1426000000,2371000000,-9516000000,-3716000000,None,None,None,None,None,None,None,None,621000000,None,None,None,3444000000,-212000000,2371000000
2015-12-31,USD,12039000000,444000000,None,11695000000,2187000000,6281000000,4589000000,-1755000000,2187000000,596000000,-6450000000,-3882000000,None,None,None,None,None,None,None,None,353000000,None,None,None,1333000000,-374000000,596000000
2014-12-31,USD,6842000000,97000000,None,6192000000,1193000000,3616000000,4893000000,-1039000000,1193000000,-241000000,-5065000000,4432000000,None,0,0,None,None,None,None,None,6359000000,None,None,None,5899000000,-310000000,-241000000
2013-12-31,USD,5475000000,175000000,None,4579000000,1410000000,2460000000,3444000000,-846000000,1410000000,274000000,-4276000000,-539000000,None,0,0,None,None,None,None,None,None,None,None,None,574000000,-86000000,274000000
2012-12-31,USD,4180000000,460000000,None,3108000000,1860000000,1653000000,3785000000,861000000,999000000,-39000000,-3595000000,2259000000,None,960000000,960000000,None,None,None,None,None,None,None,-960000000,None,2815000000,-29000000,-39000000
2011-12-31,USD,3903000000,14000000,None,4064000000,2643000000,1034000000,1811000000,866000000,1777000000,631000000,-1930000000,-482000000,None,277000000,0,None,None,None,None,None,None,None,-277000000,None,1492000000,1000000,631000000
2010-12-31,USD,3495000000,86000000,None,3113000000,1314000000,552000000,979000000,295000000,1019000000,1152000000,-3360000000,181000000,None,None,None,None,None,None,None,None,None,None,None,None,333000000,17000000,1152000000
2009-12-31,USD,3293000000,80000000,None,2159000000,1012000000,384000000,373000000,481000000,531000000,902000000,-2337000000,-280000000,None,0,0,None,None,None,None,None,None,None,None,None,675000000,-1000000,902000000
