date,value
2024-04-01,5817.169
2024-01-01,5638.455
2023-10-01,5831.583
2023-07-01,5724.051
2023-04-01,5646.288
2023-01-01,5469.175
2022-10-01,5668.877
2022-07-01,5544.386
2022-04-01,5484.289
2022-01-01,5337.277
2021-10-01,5591.973
2021-07-01,5408.478
2021-04-01,5360.97
2021-01-01,5133.377
2020-10-01,5298.828
2020-07-01,5134.93
2020-04-01,4783.855
2020-01-01,5049.973
2019-10-01,5351.022
2019-07-01,5232.278
2019-04-01,5159.323
2019-01-01,4973.048
2018-10-01,5170.563
2018-07-01,5092.532
2018-04-01,5039.983
2018-01-01,4890.817
2017-10-01,5069.624
2017-07-01,4950.878
2017-04-01,4893.234
2017-01-01,4698.367
2016-10-01,4912.331
2016-07-01,4819.182
2016-04-01,4768.308
2016-01-01,4641.851
2015-10-01,4799.354
2015-07-01,4741.07
2015-04-01,4696.817
2015-01-01,4562.381
2014-10-01,4709.584
2014-07-01,4616.61
2014-04-01,4532.342
2014-01-01,4403.178
2013-10-01,4586.321
2013-07-01,4486.445
2013-04-01,4419.14
2013-01-01,4320.262
2012-10-01,4440.555
2012-07-01,4376.682
2012-04-01,4345.706
2012-01-01,4279.816
2011-10-01,4371.813
2011-07-01,4273.162
2011-04-01,4251.8
2011-01-01,4155.635
2010-10-01,4316.573
2010-07-01,4229.41
2010-04-01,4188.706
2010-01-01,4055.062
2009-10-01,4209.064
2009-07-01,4102.854
2009-04-01,4060.384
2009-01-01,3976.808
2008-10-01,4179.959
2008-07-01,4192.399
2008-04-01,4226.589
2008-01-01,4182.537
2007-10-01,4305.666
2007-07-01,4208.612
2007-04-01,4184.414
2007-01-01,4063.753
2006-10-01,4201.0
2006-07-01,4111.947
2006-04-01,4116.718
2006-01-01,4003.482
2005-10-01,4107.378
2005-07-01,4040.686
2005-04-01,3972.818
2005-01-01,3867.076
2004-10-01,3990.913
2004-07-01,3879.617
2004-04-01,3837.587
2004-01-01,3741.64
2003-10-01,3860.185
2003-07-01,3753.431
2003-04-01,3680.929
2003-01-01,3582.767
2002-10-01,3712.845
2002-07-01,3650.253
2002-04-01,3608.496
2002-01-01,3501.118
